num; time; fix; lat; lon; alt; times; timems
147; 90492; 0; 55.910648; 37.805382; 200.000000; 0; 0;
148; 91029; 0; 55.910648; 37.805382; 200.000000; 0; 0;
149; 91551; 0; 55.910648; 37.805382; 200.000000; 0; 0;
150; 92140; 0; 55.910648; 37.805382; 200.000000; 0; 0;
151; 92672; 0; 55.910648; 37.805382; 200.000000; 0; 0;
152; 93342; 0; 55.910648; 37.805382; 200.000000; 0; 0;
153; 93957; 0; 55.910648; 37.805382; 200.000000; 0; 0;
154; 94509; 0; 55.910648; 37.805382; 200.000000; 0; 0;
155; 95165; 0; 55.910648; 37.805382; 200.000000; 0; 0;
156; 95741; 0; 55.910648; 37.805382; 200.000000; 0; 0;
157; 96317; 0; 55.910648; 37.805382; 200.000000; 0; 0;
158; 96805; 0; 55.910648; 37.805382; 200.000000; 0; 0;
159; 97438; 0; 55.910648; 37.805382; 200.000000; 0; 0;
160; 97958; 0; 55.910648; 37.805382; 200.000000; 0; 0;
161; 98646; 0; 55.910648; 37.805382; 200.000000; 0; 0;
162; 99179; 0; 55.910648; 37.805382; 200.000000; 0; 0;
163; 99711; 0; 55.910648; 37.805382; 200.000000; 0; 0;
164; 100245; 0; 55.910648; 37.805382; 200.000000; 0; 0;
165; 100836; 0; 55.910648; 37.805382; 200.000000; 0; 0;
166; 101500; 0; 55.910648; 37.805382; 200.000000; 0; 0;
167; 101965; 0; 55.910648; 37.805382; 200.000000; 0; 0;
168; 102510; 0; 55.910648; 37.805382; 200.000000; 0; 0;
169; 103085; 0; 55.910648; 37.805382; 200.000000; 0; 0;
170; 103755; 0; 55.910648; 37.805382; 200.000000; 0; 0;
171; 104222; 0; 55.910648; 37.805382; 200.000000; 0; 0;
172; 104815; 0; 55.910648; 37.805382; 200.000000; 0; 0;
173; 105349; 0; 55.910648; 37.805382; 200.000000; 0; 0;
174; 106074; 0; 55.910648; 37.805382; 200.000000; 0; 0;
175; 106541; 0; 55.910648; 37.805382; 200.000000; 0; 0;
176; 107214; 0; 55.910648; 37.805382; 200.000000; 0; 0;
177; 108662; 0; 55.910648; 37.805382; 200.000000; 0; 0;
178; 109146; 0; 55.910648; 37.805382; 200.000000; 0; 0;
179; 109706; 0; 55.910648; 37.805382; 200.000000; 0; 0;
180; 110238; 0; 55.910648; 37.805382; 200.000000; 0; 0;
181; 110817; 0; 55.910648; 37.805382; 200.000000; 0; 0;
182; 111552; 0; 55.910648; 37.805382; 200.000000; 0; 0;
183; 112075; 0; 55.910648; 37.805382; 200.000000; 0; 0;
184; 112705; 0; 55.910648; 37.805382; 200.000000; 0; 0;
185; 113241; 0; 55.910648; 37.805382; 200.000000; 0; 0;
186; 113870; 0; 55.910648; 37.805382; 200.000000; 0; 0;
187; 114394; 0; 55.910648; 37.805382; 200.000000; 0; 0;
188; 114942; 0; 55.910648; 37.805382; 200.000000; 0; 0;
189; 115576; 0; 55.910648; 37.805382; 200.000000; 0; 0;
190; 116357; 0; 55.910648; 37.805382; 200.000000; 0; 0;
191; 116822; 0; 55.910648; 37.805382; 200.000000; 0; 0;
