"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1922;440994;0;nan;nan;nan;44652;0;7524;
1927;442051;0;nan;nan;nan;44653;0;1310;
1931;442898;0;nan;nan;nan;44654;0;28468;
1933;443298;0;nan;nan;nan;44655;0;5494;
1936;443909;0;nan;nan;nan;44655;0;3127;
1937;444120;0;nan;nan;nan;44655;0;50697;
1938;444318;0;nan;nan;nan;44656;0;24091;
1942;445750;0;nan;nan;nan;44657;0;64184;
1945;446366;0;nan;nan;nan;44658;0;34146;
1948;446968;0;nan;nan;nan;44658;0;12993;
1951;447607;0;nan;nan;nan;44659;0;6065;
1952;447833;0;nan;nan;nan;44659;0;1618;
1960;449486;0;nan;nan;nan;44661;0;10958;
