"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
71;14200;-337;61;919;498;4753;3799;0;-19;-14;9704;
75;14903;-341;60;921;497;4753;3799;-19;0;-1;37025;
77;15209;-338;61;926;498;4752;3799;0;-19;-14;38138;
83;16285;-339;63;922;494;4754;3798;0;0;-1;47068;
85;16591;-339;57;921;497;4753;3799;0;-19;-14;29544;
87;16913;-337;60;922;497;4755;3799;-19;-19;-14;16944;
91;17632;-337;58;922;496;4753;3799;-19;0;-1;9880;
99;19086;-341;62;924;496;4753;3798;-19;0;-1;64560;
101;19420;-340;62;920;498;4753;3799;0;0;-1;64509;
103;19732;-339;58;920;496;4753;3799;0;0;-1;3816;
107;20395;-337;56;921;496;4752;3798;-19;0;-1;40941;
109;20700;-339;62;924;496;4753;3799;0;-19;-14;29545;
115;21761;-338;60;917;497;4753;3799;-19;-19;-14;37191;
117;22081;-338;53;921;495;4754;3798;-19;-19;-14;59033;
119;22415;-338;64;922;497;4753;3799;-19;0;-1;35102;
123;23040;-335;58;928;498;4753;3799;-19;0;-1;32158;
125;23374;-335;58;920;497;4752;3800;-19;0;-1;60961;
131;24326;-333;59;917;497;4753;3799;-19;0;-1;26717;
133;24658;-340;61;923;498;4753;3799;0;0;-1;6451;
139;26382;-337;59;919;497;4752;3798;-19;0;-1;65444;
141;26700;-336;64;922;498;4754;3800;0;-19;-14;54565;
147;27747;-340;60;925;495;4754;3798;0;0;-1;36498;
149;28063;-339;60;921;499;4751;3800;0;0;-1;1708;
151;28395;-331;58;919;498;4753;3799;0;-19;-14;62400;
155;29131;-340;60;920;497;4752;3799;0;0;-1;25501;
157;29451;-336;60;922;497;4754;3800;0;-19;-14;891;
163;30420;-336;60;920;498;4752;3799;-19;0;-1;39265;
165;30752;-340;62;920;498;4753;3799;0;-19;-14;24722;
167;31059;-339;61;925;498;4752;3798;-19;-19;-14;17985;
171;31701;-341;54;922;495;4753;3799;0;-19;-14;21484;
173;32020;-340;65;924;498;4753;3799;-19;-19;-14;63505;
179;33067;-338;55;921;495;4752;3797;0;-19;-14;15957;
181;33388;-333;64;923;500;4753;3800;-19;0;-1;55739;
187;34627;-339;62;923;498;4754;3799;-19;0;-1;3245;
197;36207;-336;61;915;497;4752;3799;0;-19;-14;24640;
199;36554;-337;55;920;497;4750;3798;-19;-19;-14;52184;
203;37180;-337;56;920;496;4753;3800;0;-19;-14;35470;
205;37504;-337;61;921;496;4753;3798;0;-19;-14;4005;
211;38482;-336;58;921;496;4753;3798;-19;0;-1;15130;
215;39113;-337;59;920;496;4753;3797;-19;0;-1;62331;
221;40184;-332;60;921;497;4752;3799;-19;-19;-14;7957;
227;41206;-336;61;916;498;4754;3800;0;-19;-14;25621;
229;41538;-340;61;919;497;4752;3799;-19;0;-1;16425;
235;42492;-339;60;921;498;4753;3799;0;-19;-14;22002;
237;43358;-337;54;922;498;4751;3798;-19;0;-1;6535;
243;44542;-342;62;925;497;4754;3799;-19;0;-1;52112;
245;44874;-337;65;920;498;4750;3798;0;-19;-14;46133;
247;45192;-342;51;922;496;4752;3799;-19;0;-1;3744;
253;46161;-339;61;922;499;4753;3798;0;-19;-14;55731;
259;47198;-336;61;922;497;4752;3799;-19;0;-1;1139;
261;47518;-339;59;920;497;4753;3800;0;-19;-14;5183;
263;47918;-335;59;920;498;4753;3799;-19;0;-1;6247;
267;48581;-339;51;922;497;4752;3798;-19;0;-1;25844;
269;48902;-338;59;918;498;4754;3800;0;-19;-14;27950;
