"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
623;95512;95.5009994506836;0.03060956858098507;0.2647842764854431;-0.95978844165802;0.08808217197656631;37168;
624;95628;95.61699676513672;0.020830241963267326;0.2798957824707031;-0.9567827582359314;0.07610051333904266;36490;
625;95829;95.81800079345703;0.024615883827209473;0.2810975909233093;-0.9558926224708557;0.0815322995185852;41729;
627;96088;96.0770034790039;0.02371768094599247;0.22200918197631836;-0.9717689752578735;0.07625234127044678;10220;
628;96204;96.19300079345703;0.020414121448993683;0.24036060273647308;-0.9674474000930786;0.07652196288108826;56240;
629;96405;96.39399719238281;0.026920124888420105;0.24014969170093536;-0.9667022228240967;0.08420342952013016;34073;
631;96671;96.66000366210938;0.021387722343206406;0.24798816442489624;-0.9651284217834473;0.08106444776058197;12726;
633;96952;96.94100189208984;0.03783130645751953;0.2895064949989319;-0.9506566524505615;0.10491326451301575;58755;
635;97212;97.19999694824219;0.04932042583823204;0.3140348792076111;-0.9402291774749756;0.12214218080043793;11720;
637;97579;97.56800079345703;0.05030683055520058;0.31986889243125916;-0.9372708201408386;0.12913775444030762;35007;
639;97840;97.8290023803711;0.04183026775717735;0.34607401490211487;-0.9302228689193726;0.114753857254982;61038;
641;98114;98.10299682617188;0.03821574151515961;0.3535422682762146;-0.9290638566017151;0.1019204631447792;29918;
642;98231;98.22000122070312;0.04093248397111893;0.3674844801425934;-0.9231160283088684;0.10552962869405746;60906;
643;98528;98.51599884033203;0.045001693069934845;0.41773495078086853;-0.8996256589889526;0.1189374178647995;10842;
645;98787;98.7760009765625;0.04092542454600334;0.4167236387729645;-0.9018788933753967;0.10621189326047897;48029;
647;99047;99.03600311279297;0.044740766286849976;0.44620057940483093;-0.8866674304008484;0.11280102282762527;745;
649;99320;99.30899810791016;0.04119133949279785;0.4370627701282501;-0.8916061520576477;0.11098591983318329;49260;
651;99593;99.58200073242188;0.03900521621108055;0.37737730145454407;-0.9188691973686218;0.10837143659591675;29338;
653;99853;99.84100341796875;0.03528466820716858;0.3784055709838867;-0.9199430346488953;0.09627542644739151;23960;
655;100126;100.11399841308594;0.03702699393033981;0.3674337565898895;-0.9236180186271667;0.10271909832954407;11582;
657;100400;100.38899993896484;0.035350654274225235;0.30517578125;-0.9465428590774536;0.09836016595363617;51716;
658;100516;100.50499725341797;0.02178860642015934;0.3083750307559967;-0.9480599164962769;0.07491658627986908;15571;
659;100717;100.70600128173828;0.020369449630379677;0.32348841428756714;-0.9435731172561646;0.06789743155241013;29922;
661;100979;100.96700286865234;0.02289414405822754;0.3179972469806671;-0.9462406039237976;0.05461229756474495;38970;
663;101258;101.24700164794922;0.013097581453621387;0.3189176023006439;-0.9462717771530151;0.05186319351196289;2479;
664;101374;101.36299896240234;0.019605344161391258;0.3369290232658386;-0.9391939640045166;0.06331869959831238;11116;
665;101588;101.57599639892578;0.022886432707309723;0.31480830907821655;-0.9462302327156067;0.07085272669792175;34743;
667;101847;101.83599853515625;0.020954862236976624;0.337630033493042;-0.9388009905815125;0.0649581179022789;16136;
669;102106;102.09500122070312;0.026024077087640762;0.3223153352737427;-0.9432364106178284;0.07576709985733032;57760;
671;102379;102.36699676513672;0.025232894346117973;0.2588077187538147;-0.962781548500061;0.073712557554245;26618;
673;102651;102.63999938964844;0.028228802606463432;0.2929532825946808;-0.9521802067756653;0.08206303417682648;31378;
674;102767;102.75499725341797;0.03370468690991402;0.3110610842704773;-0.9452927708625793;0.09233979135751724;18015;
675;102967;102.95500183105469;0.03546057641506195;0.2935802936553955;-0.950448751449585;0.0959182009100914;26491;
677;103243;103.23200225830078;0.03101056069135666;0.32630959153175354;-0.9405114054679871;0.0894354060292244;64860;
679;103519;103.50800323486328;0.026019224897027016;0.3503337800502777;-0.932898759841919;0.0793047547340393;59652;
680;103642;103.62999725341797;0.025892043486237526;0.32320111989974976;-0.9426565170288086;0.07917837053537369;52580;
681;103843;103.83200073242188;0.02977731265127659;0.3041934370994568;-0.9482857584953308;0.08563709259033203;36559;
683;104103;104.09200286865234;0.04218083620071411;0.327955037355423;-0.9378276467323303;0.10557256639003754;23359;
685;104363;104.35199737548828;0.04360664263367653;0.31401920318603516;-0.9420444965362549;0.10973857343196869;5922;
686;104494;104.48300170898438;0.04228299483656883;0.28468772768974304;-0.9517956376075745;0.10606713593006134;31376;
689;104957;104.94599914550781;0.033487893640995026;0.3278394341468811;-0.9397947788238525;0.09047458320856094;6483;
691;105217;105.20600128173828;0.03673042356967926;0.3132294714450836;-0.9439806938171387;0.09715346246957779;2345;
693;105491;105.47899627685547;0.03444439917802811;0.2506454288959503;-0.9631969332695007;0.0907859280705452;8510;
695;105765;105.75299835205078;0.03349122405052185;0.2909409999847412;-0.9515397548675537;0.09382815659046173;57328;
696;105880;105.86900329589844;0.03721658140420914;0.3065420687198639;-0.9459578394889832;0.09904839098453522;51717;
697;106163;106.1510009765625;0.045696377754211426;0.35272252559661865;-0.9269605278968811;0.1193435937166214;7187;
699;106422;106.41100311279297;0.04048626124858856;0.357043981552124;-0.9272361397743225;0.10542108863592148;48868;
701;106777;106.76599884033203;0.04065350815653801;0.3170318305492401;-0.9414601922035217;0.10719567537307739;7072;
702;106893;106.88200378417969;0.02755611576139927;0.32240453362464905;-0.9424421191215515;0.08425388485193253;60352;
703;107094;107.08300018310547;0.025603797286748886;0.3333333134651184;-0.9393157362937927;0.07693666964769363;34427;
705;107356;107.34500122070312;0.010653259232640266;0.3474160134792328;-0.9365580081939697;0.045252006500959396;58420;
706;107473;107.46199798583984;0.011124984361231327;0.3213103115558624;-0.9457217454910278;0.04739401116967201;59756;
707;107675;107.66400146484375;0.016078604385256767;0.302245557308197;-0.9514161348342896;0.05653668940067291;13416;
708;107792;107.78099822998047;0.011446469463407993;0.3195880353450775;-0.9461710453033447;0.04992897808551788;19500;
709;108753;108.74199676513672;0.08119134604930878;0.44937804341316223;-0.8774293661117554;0.1469184011220932;18679;
711;109027;109.01499938964844;0.05735152214765549;0.4407123923301697;-0.8888972401618958;0.1111089363694191;833;
713;109301;109.28900146484375;0.0389266237616539;0.4390670657157898;-0.8937755227088928;0.08288648724555969;37013;
715;109574;109.56300354003906;0.036080535501241684;0.378525972366333;-0.9209888577461243;0.0848282128572464;61280;
717;109847;109.83599853515625;0.018532468006014824;0.34861165285110474;-0.9354401230812073;0.055481091141700745;21827;
719;110120;110.10900115966797;0.03289959207177162;0.374339759349823;-0.9232657551765442;0.07979793846607208;17766;
721;110379;110.36799621582031;0.035105664283037186;0.3602536916732788;-0.927974283695221;0.08859232813119888;31537;
722;110495;110.48400115966797;0.023557554930448532;0.3572026491165161;-0.9313548803329468;0.06655433028936386;13032;
723;110695;110.68399810791016;0.021591821685433388;0.36295950412750244;-0.9295163154602051;0.06159219518303871;54165;
725;110961;110.94999694824219;0.010287049226462841;0.3599056303501129;-0.9321075677871704;0.039213355630636215;37660;
727;111323;111.31199645996094;0.030302802100777626;0.40144047141075134;-0.9126020669937134;0.07130744308233261;21320;
728;111439;111.4280014038086;0.033208347856998444;0.4142703115940094;-0.9062662720680237;0.07719302177429199;10189;
729;111640;111.62799835205078;0.0365903340280056;0.44726064801216125;-0.8891568183898926;0.08954925835132599;63278;
